,Station,Latitude,Longitude,Station Description,Overall CRAM Score,CRAM Color,AmmoniaN,As,CSCI,Ca,Channel Alteration,Chloride,Cr,Cu,Dissolved Oxygen,Fluoride,H20,Hardness,Instream Cover,NitrateNitriteNO3,OrthoPhosphateP,Sediment Deposition,Specific Conductivity,Sulfate,TKN,TSS,Temperature,TotalPhosphorusPO4,Zn,pH,CSCI Color,H20 Color,Cluster Group,Year,SHAPE
0,901M14118,33.609813,-117.627392,Trabuco Creek 1.75 mi u/s Oso,76.0,Yellow,0.1,,0.959976217,126.0,20.0,110.0,,,10.05,0.31,60.0,360.0,13.0,16.0,0.036,17.0,1024.0,180.0,0.1,5.0,18.88,0.2,,7.76,Blue,,3.0,2015.0,"{'spatialReference': {'wkid': 4326}, 'x': -117.627392, 'y': 33.609813}"
1,901M14124,33.43522,-117.625517,M02 d/s Calle de Los Molinos,33.0,Red,0.1,,0.371328496,372.0,1.0,980.0,,,13.3,0.87,12.0,2140.0,1.0,3.0,0.048,19.0,6319.0,2300.0,0.96,6.0,20.59,0.18,,8.13,Red,Red,7.0,2015.0,"{'spatialReference': {'wkid': 4326}, 'x': -117.625517, 'y': 33.43522}"
2,901M14126,33.547493,-117.722306,Aliso Creek 1/3 mi d/s Alicia Pkwy,71.0,Yellow,2.18,,0.640765396680217,256.3,16.0,439.7,,,8.29,0.84,18.0,1182.3,8.0,1.06,0.29,8.0,3434.0,1041.4,1.72,2.8,19.43,,,7.85,Orange,Red,7.0,2016.0,"{'spatialReference': {'wkid': 4326}, 'x': -117.722306, 'y': 33.547493}"
3,901M14134,33.592319,-117.632839,Tijeras Creek just upstream of Trabuco Creek confluence,75.0,Yellow,0.05,,0.672688287940838,130.25,13.0,178.7,,,9.85,0.5,44.0,436.1,7.0,0.05,0.05,10.0,1394.0,185.32,0.617,8.7,19.96,,,7.95,Orange,Yellow,2.0,2016.0,"{'spatialReference': {'wkid': 4326}, 'x': -117.632839, 'y': 33.592319}"
4,901M14137,33.495302,-117.714877,Salt Creek u/s Camino Del Avion (SC-MB location),59.0,Orange,0.03,,0.406585915791714,390.21,13.0,891.2,,,12.7,0.9,57.5,1678.3,10.0,,0.57,8.0,5458.0,1326.2,0.495,1.5,19.74,0.74,,7.64,Red,,8.0,2017.0,"{'spatialReference': {'wkid': 4326}, 'x': -117.714877, 'y': 33.495302}"
5,901M14138,33.576881,-117.640006,Trabuco Creek between Crown Valley & Oso,79.0,Yellow,0.03,,0.833921811002079,113.19,19.0,105.95,,,13.71,0.41,46.25,386.6,13.0,,0.02,10.0,1165.0,210.7,0.4,3.2,18.87,0.076,,7.73,Yellow,Yellow,4.0,2017.0,"{'spatialReference': {'wkid': 4326}, 'x': -117.640006, 'y': 33.576881}"
6,901M14141,33.521712,-117.622155,L01 d/s Antonio,58.0,Orange,0.01,,0.801493131,316.0,16.0,73.3,,,6.22,0.363,45.0,1120.0,4.0,0.01,0.0118,4.0,2309.0,624.0,0.665,,17.92,0.152,,7.37,Yellow,Yellow,3.0,2018.0,"{'spatialReference': {'wkid': 4326}, 'x': -117.622155, 'y': 33.521712}"
7,901M14142,33.621308,-117.68977,Aliso Creek d/s Heroes Park,80.0,Yellow,0.0756,,0.567116568,190.0,15.0,246.0,,,11.67,0.461,27.5,702.0,11.0,0.01,0.0163,13.0,1943.0,485.0,1.4,,21.39,0.151,,8.33,Red,Orange,6.0,2018.0,"{'spatialReference': {'wkid': 4326}, 'x': -117.68977, 'y': 33.621308}"
8,901M14145,33.48819,-117.666822,L01 d/s L02 confluence,44.0,Orange,0.03,,0.571506396,184.0,3.0,208.0,,,8.9,0.249,33.75,713.0,5.0,0.05,0.02,13.0,2000.0,561.0,0.418,1.95,20.34,0.0451,,8.13,Red,Orange,4.0,2019.0,"{'spatialReference': {'wkid': 4326}, 'x': -117.666822, 'y': 33.48819}"
9,901M14149,33.567546,-117.748123,J02 Wood Canyon 1 mi d/s of Cyn View Park,73.0,Yellow,0.03,,0.620657239,114.0,15.0,171.0,,,8.59,0.345,13.75,449.0,7.0,0.608,0.181,9.0,1215.0,208.0,0.092,1.12,19.45,0.205,,8.33,Orange,Red,5.0,2019.0,"{'spatialReference': {'wkid': 4326}, 'x': -117.748123, 'y': 33.567546}"
10,901M14150,33.62336,-117.623864,L02 1.25 mi d/s Santa Margarita Pkwy,77.0,Yellow,0.0283,,0.79486410274321,105.0,15.0,44.9,,,8.22,0.272,35.0,354.0,15.0,3.428046,0.01,17.0,895.0,182.0,0.26,1.05,20.08,0.06868995802389409,,8.6,Yellow,Yellow,1.0,2020.0,"{'spatialReference': {'wkid': 4326}, 'x': -117.623864, 'y': 33.62336}"
11,901M14153,33.480725,-117.677845,L01 0.5 mi u/s Stonehill,46.0,Orange,0.0219,,0.688330284624549,184.0,3.0,215.0,,,10.61,0.436,46.25,730.0,5.0,2.2720770000000003,0.01,10.0,2207.0,618.0,0.42,0.81,18.46,0.06041036486922828,,8.12,Orange,Yellow,4.0,2020.0,"{'spatialReference': {'wkid': 4326}, 'x': -117.677845, 'y': 33.480725}"
12,AC-CCR,33.511925,-117.746294,Aliso Creek at Country Club Road,,,0.1,3.55,0.724252146,,6.0,,0.75,1.75,9.8185,0.73,,1087.5,9.5,3.5300000000000002,0.14500000000000002,13.5,,960.0,0.74,10.5,20.42,0.645,4.0,7.775,Orange,,5.0,2010.0,"{'spatialReference': {'wkid': 4326}, 'x': -117.746294, 'y': 33.511925}"
13,AC-PPD,33.57286,-117.71634,Aliso Creek at Pacific Park Drive,,,0.51,4.1,0.696938049,,3.5,,0.5,2.3,9.465,,,975.0,6.0,4.465,0.25,6.5,,,1.215,5.0,18.525,0.85,3.6500000000000004,7.845000000000001,Orange,,7.0,2010.0,"{'spatialReference': {'wkid': 4326}, 'x': -117.71634, 'y': 33.57286}"
14,ACJ01,33.5435448281,-117.73246206,Aliso Creek in Aliso/Wood Canyon Park,,,0.25,3.5,0.6931490873678146,,14.142857142857142,,1.0,3.0,7.707142857142857,0.77,31.625,1200.0,8.285714285714286,9.95,0.27,5.714285714285714,3418.0,950.0,0.95,5.0,20.487142857142857,0.94,10.0,7.844285714285713,Orange,Orange,4.0,2020.0,"{'spatialReference': {'wkid': 4326}, 'x': -117.73246206, 'y': 33.5435448281}"
15,CC-CR,33.460737,-117.568457,Christianitos Creek at Christianitos Road,,,0.10000000000000002,0.7825,0.8280852059765834,81.8,18.666666666666668,107.33333333333333,0.275,1.65,9.540000000000001,0.425,19.75,291.3333333333333,10.0,0.25,0.046000000000000006,6.333333333333333,941.6666666666666,142.0,0.25033333333333335,4.933333333333334,15.46,0.07166666666666667,4.35,8.206666666666667,Yellow,Orange,2.0,2019.0,"{'spatialReference': {'wkid': 4326}, 'x': -117.568457, 'y': 33.460737}"
16,EC-MD,33.6272742153,-117.67982622277,English Creek at Madero Drive,,,0.1,4.0,0.6719213185,,6.5,,0.5,1.5,10.08,,,835.0,4.0,0.4,0.13,3.0,,,0.56,5.0,17.605,0.47000000000000003,4.35,8.040000000000001,Orange,,7.0,2010.0,"{'spatialReference': {'wkid': 4326}, 'x': -117.67982622277, 'y': 33.6272742153}"
17,LC-133,33.578536,-117.761786,Laguna Canyon Channel along Highway 133,,,0.11059999999999999,3.4750000000000005,0.5779758861866672,191.0,11.5,332.3333333333333,0.35,0.9125,8.858333333333334,0.71,29.75,752.8,9.5,0.36,0.205,8.0,2335.0,365.0,0.6666000000000001,8.98,18.438333333333333,0.7368,3.5,7.93,Red,Orange,2.0,2020.0,"{'spatialReference': {'wkid': 4326}, 'x': -117.761786, 'y': 33.578536}"
18,M02@AveMont,33.439723,-117.605983,Segunda Deschecha tributary at Avenida Montana,,,0.1,,0.487190165,530.0,19.0,2600.0,,,8.59,0.96,,400.0,7.0,0.44,0.01,10.0,1343.4,5400.0,1.3,17.0,17.43,120.0,,7.79,Red,,3.0,2010.0,"{'spatialReference': {'wkid': 4326}, 'x': -117.605983, 'y': 33.439723}"
19,REF-BC,33.640107,-117.553453,Bell Creek in the Starr Ranch Sanctuary,,,0.10840000000000001,0.93,0.900004497333852,109.0,17.0,20.333333333333332,0.346,4.074,10.017999999999999,0.22,82.0,382.6,12.6,0.34,0.02,13.2,839.3333333333334,224.66666666666666,0.20660000000000003,3.311,15.634,0.0812,8.72,8.068000000000001,Yellow,,1.0,2019.0,"{'spatialReference': {'wkid': 4326}, 'x': -117.553453, 'y': 33.640107}"
20,REF-CS,33.58292,-117.52353,San Juan Creek at Cold Spring,,,0.1,2.3,0.7441378335,,19.5,,0.5,1.17,9.445,,,162.5,13.0,0.4,0.02,13.5,,,0.2,5.0,16.775,0.06,2.05,8.23,Orange,,5.0,2010.0,"{'spatialReference': {'wkid': 4326}, 'x': -117.52353, 'y': 33.58292}"
21,REF-FC,33.791019,-117.719343,Fremont Cyn Creek,,,0.1,0.7124999999999999,0.7153787419156529,270.0,19.0,76.425,0.32,2.05,9.0275,0.7050000000000001,28.75,926.25,10.5,0.34299999999999997,0.0395,8.5,2374.9,1032.25,0.316,11.075,23.48,0.108,4.8,7.882499999999999,Orange,Orange,2.0,2019.0,"{'spatialReference': {'wkid': 4326}, 'x': -117.719343, 'y': 33.791019}"
22,REF-TCAS,33.674071,-117.538337,Arroyo Trabuco Creek at Alder Spring,91.0,Blue,0.09999999999999999,2.6599999999999997,0.8986932390710438,86.93333333333334,15.8,13.915,0.5830000000000001,1.364,9.787,0.26,70.66666666666667,319.2,15.3,0.35777777777777775,0.0183,15.9,672.75,176.125,0.23330000000000006,4.2,15.357777777777777,0.0784,4.0200000000000005,8.152222222222223,Yellow,,1.0,2020.0,"{'spatialReference': {'wkid': 4326}, 'x': -117.538337, 'y': 33.674071}"
23,SC-MB,33.495878,-117.714414,Salt Creek at Monarch Beach Golf Links,,,0.20500000000000004,1.5875,0.4639874537758005,359.0,7.5,767.6666666666666,0.4650000000000001,2.1825,8.27375,0.1,51.5,1405.625,8.125,4.87125,0.46487500000000004,7.75,5082.166666666667,1206.6666666666667,1.514125,6.7,18.494999999999997,1.68825,7.4,7.76,Red,Blue,7.0,2020.0,"{'spatialReference': {'wkid': 4326}, 'x': -117.714414, 'y': 33.495878}"
24,SD-AP,33.44861,-117.611667,Segunda Deshecha u/s of Avenida Presidio,,,0.5627500000000001,2.34,0.4862467767735577,331.0,14.428571428571429,490.0,0.578,3.38,10.34,1.4,22.333333333333332,1528.75,9.142857142857142,15.525,0.2445,8.142857142857142,4453.0,1285.0,1.7000000000000002,4.45,16.861428571428572,0.85225,17.82,8.471428571428572,Red,Orange,8.0,2019.0,"{'spatialReference': {'wkid': 4326}, 'x': -117.611667, 'y': 33.44861}"
25,SJC-74,33.519255,-117.625236,San Juan Creek between Camino Capistrano and I-5,,,0.12857142857142856,1.6471428571428572,0.7014552143968608,145.5,14.142857142857142,112.34,0.3714285714285714,1.4285714285714286,7.935714285714286,0.48,37.916666666666664,465.14285714285717,9.142857142857142,1.1836666666666666,0.02057142857142857,7.428571428571429,1272.4,324.4,0.32128571428571423,4.971428571428571,18.98428571428571,0.14657142857142857,4.971428571428572,7.625714285714286,Orange,Yellow,4.0,2019.0,"{'spatialReference': {'wkid': 4326}, 'x': -117.625236, 'y': 33.519255}"
26,SJC-CC,33.49198,-117.6629,San Juan Creek between Camino Capistrano and I-5,,,0.1,2.05,0.47963829950000003,,10.0,,0.75,1.6,11.08,,,1182.5,9.5,1.6,0.025,8.0,,,0.675,5.0,20.200000000000003,0.225,4.15,7.67,Red,,5.0,2010.0,"{'spatialReference': {'wkid': 4326}, 'x': -117.6629, 'y': 33.49198}"
27,SMC00206,33.543591,-117.659637,Trabuco Creek at Avery PKWY,81.625,Blue,0.0661125,2.85,0.7399911810106039,157.77714285714288,14.875,156.1,0.35,0.9,9.5525,0.35462499999999997,45.875,553.875,10.875,0.7221062857142856,0.09675,9.75,1437.857142857143,272.2625,0.28625,3.8314285714285714,17.115000000000002,0.30013090087181143,3.5,8.13125,Orange,Yellow,4.0,2020.0,"{'spatialReference': {'wkid': 4326}, 'x': -117.659637, 'y': 33.543591}"
28,SMC00531,33.559753,-117.772006,Laguna Canyon wash u/s of Canyon Acres Dr.,31.0,Red,0.06795000000000001,2.9,0.44927563614557753,88.2,0.0,5600.0,0.5,0.69,14.06,0.83,16.75,630.0,0.0,0.20500000000000002,0.125,20.0,1904.0,3665.0,0.47550000000000003,4.835,21.39,0.38674733333333333,2.0,8.64,Red,Red,2.0,2021.0,"{'spatialReference': {'wkid': 4326}, 'x': -117.772006, 'y': 33.559753}"
29,SMC00873,33.598493,-117.626682,Tijeras Creek d/s of Antonio PKWY,75.875,Yellow,0.0545625,2.25,0.6952053777629351,115.84857142857143,16.25,153.67857142857142,0.35,1.35,8.87875,0.45175,38.96875,388.3875,9.5,0.2788864285714286,0.031849999999999996,9.0,1284.3857142857144,219.29375000000002,0.23050000000000004,2.52,18.3275,0.1355525670003229,4.65,7.9975,Orange,Yellow,2.0,2020.0,"{'spatialReference': {'wkid': 4326}, 'x': -117.626682, 'y': 33.598493}"
30,SMC00963,33.564016,-117.651403,Trabuco Creek @ Crown Valley Parkway,83.0,Blue,0.1,2.0,0.8478920034999999,148.5,11.5,170.0,0.35,1.7000000000000002,8.965,0.315,55.0,512.5,12.5,1.162,0.025500000000000002,7.0,1673.0,270.0,0.17,5.0,18.685000000000002,0.098,3.6,7.995,Yellow,Blue,4.0,2014.0,"{'spatialReference': {'wkid': 4326}, 'x': -117.651403, 'y': 33.564016}"
31,SMC01257,33.608422,-117.618596,Tijeras Creek @ Antonio Parkway,77.0,Yellow,0.1,4.2,0.724553340735295,76.0,13.0,120.0,0.5,4.2,11.03,0.67,28.0,270.0,12.0,0.4,0.1,10.0,905.0,180.0,0.4,5.0,20.49,0.35,4.8,8.43,Orange,Orange,1.0,2011.0,"{'spatialReference': {'wkid': 4326}, 'x': -117.618596, 'y': 33.608422}"
32,SMC01555,33.549988,-117.779665,Laguna Cyn channel d/s of mass emmissions station,39.0,Red,0.1,3.2,0.683478716140772,120.0,0.0,300.0,0.5,1.3,11.84,0.68,4.0,620.0,1.0,0.77,0.076,19.0,1969.0,290.0,0.48,5.0,19.76,0.18,7.9,8.24,Orange,Red,2.0,2011.0,"{'spatialReference': {'wkid': 4326}, 'x': -117.779665, 'y': 33.549988}"
33,SMC01934,33.490002,-117.665955,Trabuco Creek u/s San Juan Creek confluence ,43.0,Red,0.1,2.3,0.569062119696852,240.0,2.0,38.0,0.5,1.8,8.94,0.36,28.0,1000.0,5.0,0.4,0.01,4.0,2797.0,880.0,0.24,5.0,18.89,0.055,5.0,7.99,Red,Orange,7.0,2012.0,"{'spatialReference': {'wkid': 4326}, 'x': -117.665955, 'y': 33.490002}"
34,SMC01987,33.590288,-117.711855,Aliso Creek @ SHeep Hills Park,58.0,Orange,0.1,3.6,0.761906718953848,200.0,10.0,360.0,0.5,1.2,8.93,0.53,34.0,800.0,8.0,0.4,0.016,7.0,2420.0,590.0,0.25,5.0,19.61,0.11,2.7,7.93,Orange,Orange,7.0,2012.0,"{'spatialReference': {'wkid': 4326}, 'x': -117.711855, 'y': 33.590288}"
35,SMC03011,33.6145,-117.695501,Aliso Creek @ El Toro Park,27.0,Red,0.1,1.9,0.630317935789234,187.0,1.0,250.0,0.5,3.3,13.85,0.55,38.0,719.0,3.0,0.4,0.04,19.0,2124.0,500.0,0.23,5.0,22.33,0.067,2.0,8.13,Orange,Yellow,2.0,2013.0,"{'spatialReference': {'wkid': 4326}, 'x': -117.695501, 'y': 33.6145}"
36,SMC03523,33.584781,-117.664379,Oso Creek at golf course,61.0,Orange,0.1,4.7,0.588841794688383,237.0,5.0,350.0,0.5,3.6,14.34,0.43,15.0,1210.0,10.0,0.4,0.028,9.0,3209.0,980.0,0.43,5.0,22.67,0.059,3.5,8.03,Red,Red,7.0,2013.0,"{'spatialReference': {'wkid': 4326}, 'x': -117.664379, 'y': 33.584781}"
37,TC-AP,33.54014,-117.66156,Trabuco Creek at the end of Avery Parkway,,,0.1,3.2,0.662572573,,9.0,,0.5,0.74,13.74,,,500.0,10.0,0.4,0.09,10.0,,,0.33,5.0,18.33,0.3,2.0,7.92,Orange,,5.0,2010.0,"{'spatialReference': {'wkid': 4326}, 'x': -117.66156, 'y': 33.54014}"
38,TC-DO,33.498103,-117.665939,Trabuco Creek at Del Obispo Rd,,,0.1,3.22,0.6105237386085994,218.0,3.6666666666666665,330.3333333333333,0.31999999999999995,1.42,11.893333333333333,0.355,38.8,960.6,4.777777777777778,0.42000000000000004,0.0184,6.333333333333333,2826.714285714286,913.3333333333334,0.4582,4.525,24.904444444444444,0.126,3.8,8.175555555555555,Red,Yellow,4.0,2019.0,"{'spatialReference': {'wkid': 4326}, 'x': -117.665939, 'y': 33.498103}"
39,WC-WCT,33.56221,-117.7442,Wood Canyon Creek on Wood Cyn. Trail (mile marker 2.0),,,0.1,3.1,0.614957517,,17.5,,0.54,2.7,10.594999999999999,,,657.5,9.0,16.05,0.44,6.0,,,0.36,5.5,15.670000000000002,1.42,7.45,8.114999999999998,Red,,5.0,2010.0,"{'spatialReference': {'wkid': 4326}, 'x': -117.7442, 'y': 33.56221}"
40,901M14155,33.6213868013132,-117.606831590471,Tijeras Creek,75.0,Yellow,0.0189,,0.677986943601004,70.9,19.0,109.0,,,7.89,0.408,31.25,253.0,12.0,2.103775,0.0444,11.0,916.0,159.0,0.461,3.08,14.07,,,6.8,Orange,Orange,2.0,2021.0,"{'spatialReference': {'wkid': 4326}, 'x': -117.606831590471, 'y': 33.6213868013132}"
41,SMC00531,33.55975,-117.772,Laguna Canyon Wash,31.0,Red,0.06795000000000001,2.9,0.44927563614557753,88.2,0.0,5600.0,0.5,0.69,14.06,0.83,16.75,630.0,0.0,0.20500000000000002,0.125,20.0,1904.0,3665.0,0.47550000000000003,4.835,21.39,0.38674733333333333,2.0,8.64,Red,Red,2.0,2021.0,"{'spatialReference': {'wkid': 4326}, 'x': -117.772, 'y': 33.55975}"
42,ALC04@Aliso Park,33.601165,-117.70517,Aliso Creek,64.0,Yellow,0.1,,0.714766845400781,,6.0,,,,5.9,,41.25,,11.0,,0.051,7.0,2917.0,,0.57,1.2,21.28,0.6707949999999999,,7.94,Orange,Yellow,7.0,2021.0,"{'spatialReference': {'wkid': 4326}, 'x': -117.70517, 'y': 33.601165}"
43,HMPE-1,33.53714,-117.61085,Chiquita Creek,75.0,Yellow,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"{'spatialReference': {'wkid': 4326}, 'x': -117.61085, 'y': 33.53714}"
44,HMPE-2,33.53841,-117.61071,Chiquita Creek,60.0,Orange,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"{'spatialReference': {'wkid': 4326}, 'x': -117.61071, 'y': 33.53841}"
45,HMPE-3,33.54332,-117.61186,Chiquita Creek,53.666666666666664,Orange,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"{'spatialReference': {'wkid': 4326}, 'x': -117.61186, 'y': 33.54332}"
46,HMPE-4,33.54543,-117.61123,Chiquita Creek,47.0,Orange,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"{'spatialReference': {'wkid': 4326}, 'x': -117.61123, 'y': 33.54543}"
47,HMPE-5,33.55239,-117.61089,Chiquita Creek,81.0,Yellow,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"{'spatialReference': {'wkid': 4326}, 'x': -117.61089, 'y': 33.55239}"
